Pulse Code Modulation Data
==========================

Sampling Frequency: 1000 Hz
Bit Depth: 4 bits
Quantization Levels: 16
Number of Samples: 100

Sample	Original	Quantized	Error	Binary
─────────────────────────────────────────────────────────
1	1.5000	1.5621	-0.0621	1011
2	1.7115	1.9928	-0.2813	1100
3	1.2698	1.5621	-0.2924	1011
4	0.6619	0.7008	-0.0389	1001
5	0.4139	0.7008	-0.2869	1001
6	0.7865	1.1315	-0.3450	1010
7	1.6210	1.9928	-0.3717	1100
8	2.4218	2.4234	-0.0016	1101
9	2.6284	2.8540	-0.2256	1110
10	1.9325	1.9928	-0.0603	1100
11	0.4635	0.7008	-0.2373	1001
12	-1.2567	-1.0217	-0.2350	0101
13	-2.5702	-2.3137	-0.2566	0010
14	-3.0127	-2.7443	-0.2684	0001
15	-2.5408	-2.3137	-0.2271	0010
16	-1.5365	-1.4524	-0.0841	0100
17	-0.5877	-0.1605	-0.4272	0111
18	-0.1652	-0.1605	-0.0047	0111
19	-0.3718	-0.1605	-0.2114	0111
20	-0.8991	-0.5911	-0.3080	0110
